id,cluster,url,slug,source,old_destination,new_destination,type,status,reason
368,BlockDAG,https://bitcoininfonews.com/avalanche-avax-price-forecast-vechain-vet-price-prediction-and-blockdags-386m-presale-momentum/,avalanche-avax-price-forecast-vechain-vet-price-prediction-and-blockdags-386m-presale-momentum,avalanche-avax-price-forecast-vechain-vet-price-prediction-and-blockdags-386m-presale-momentum/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
369,BlockDAG,https://bitcoininfonews.com/avax-eyes-26-sol-shows-strength-blockdags-presale-booms-past-332m/,avax-eyes-26-sol-shows-strength-blockdags-presale-booms-past-332m,avax-eyes-26-sol-shows-strength-blockdags-presale-booms-past-332m/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
370,BlockDAG,https://bitcoininfonews.com/avax-eyes-30-doge-holds-steady-blockdag-achieves-223m-presale-2520-roi/,avax-eyes-30-doge-holds-steady-blockdag-achieves-223m-presale-2520-roi,avax-eyes-30-doge-holds-steady-blockdag-achieves-223m-presale-2520-roi/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
371,BlockDAG,https://bitcoininfonews.com/avax-ondo-surge-while-blockdags-433m-green-pow-presale-dominates-top-crypto-to-buy-conversations/,avax-ondo-surge-while-blockdags-433m-green-pow-presale-dominates-top-crypto-to-buy-conversations,avax-ondo-surge-while-blockdags-433m-green-pow-presale-dominates-top-crypto-to-buy-conversations/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
372,BlockDAG,https://bitcoininfonews.com/bch-rebounds-to-580-bnb-eyes-1400-but-blockdags-430m-presale-explodes-as-tge-code-fuels-demand/,bch-rebounds-to-580-bnb-eyes-1400-but-blockdags-430m-presale-explodes-as-tge-code-fuels-demand,bch-rebounds-to-580-bnb-eyes-1400-but-blockdags-430m-presale-explodes-as-tge-code-fuels-demand/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
373,BlockDAG,https://bitcoininfonews.com/bdag-eye-3025-roi-pepe-price-analysis-tao-rises/,bdag-eye-3025-roi-pepe-price-analysis-tao-rises,bdag-eye-3025-roi-pepe-price-analysis-tao-rises/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
374,BlockDAG,https://bitcoininfonews.com/bdag-leads-best-crypto-to-buy-today-surpassing-trx-wld/,bdag-leads-best-crypto-to-buy-today-surpassing-trx-wld,bdag-leads-best-crypto-to-buy-today-surpassing-trx-wld/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
375,BlockDAG,https://bitcoininfonews.com/bdag-referral-program-gains-ground-as-bnb-price-prediction-xlm-show-strength/,bdag-referral-program-gains-ground-as-bnb-price-prediction-xlm-show-strength,bdag-referral-program-gains-ground-as-bnb-price-prediction-xlm-show-strength/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
376,BlockDAG,https://bitcoininfonews.com/bdag-surges-to-336m-leaving-kaanchs-post-presale-stumble-in-the-dust/,bdag-surges-to-336m-leaving-kaanchs-post-presale-stumble-in-the-dust,bdag-surges-to-336m-leaving-kaanchs-post-presale-stumble-in-the-dust/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
377,BlockDAG,https://bitcoininfonews.com/bdags-430m-presale-binance-ama-steal-ada-doge-spotlight/,bdags-430m-presale-binance-ama-steal-ada-doge-spotlight,bdags-430m-presale-binance-ama-steal-ada-doge-spotlight/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
378,BlockDAG,https://bitcoininfonews.com/bdags-presale-grows-eth-etf-inflows-rise-sol-targets-1k/,bdags-presale-grows-eth-etf-inflows-rise-sol-targets-1k,bdags-presale-grows-eth-etf-inflows-rise-sol-targets-1k/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
379,BlockDAG,https://bitcoininfonews.com/best-altcoins-to-buy-now-bdag-sui-xrp-bonk-gaining-buzz/,best-altcoins-to-buy-now-bdag-sui-xrp-bonk-gaining-buzz,best-altcoins-to-buy-now-bdag-sui-xrp-bonk-gaining-buzz/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
380,BlockDAG,https://bitcoininfonews.com/best-altcoins-to-buy-now-blockdag-ada-hype-eth-steal-the-spotlight/,best-altcoins-to-buy-now-blockdag-ada-hype-eth-steal-the-spotlight,best-altcoins-to-buy-now-blockdag-ada-hype-eth-steal-the-spotlight/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
381,BlockDAG,https://bitcoininfonews.com/best-altcoins-to-buy-now-blockdag-ethereum-chainlink-cardano-set-the-stage-for-explosive-growth/,best-altcoins-to-buy-now-blockdag-ethereum-chainlink-cardano-set-the-stage-for-explosive-growth,best-altcoins-to-buy-now-blockdag-ethereum-chainlink-cardano-set-the-stage-for-explosive-growth/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
382,BlockDAG,https://bitcoininfonews.com/best-crypto-coin-to-buy-now-blockdag-chainlink-stellar-tron-compared/,best-crypto-coin-to-buy-now-blockdag-chainlink-stellar-tron-compared,best-crypto-coin-to-buy-now-blockdag-chainlink-stellar-tron-compared/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
383,BlockDAG,https://bitcoininfonews.com/best-crypto-investment-for-2025-blockdag-presale-beats-avalanche-litecoin-xrp/,best-crypto-investment-for-2025-blockdag-presale-beats-avalanche-litecoin-xrp,best-crypto-investment-for-2025-blockdag-presale-beats-avalanche-litecoin-xrp/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
384,BlockDAG,https://bitcoininfonews.com/best-crypto-presale-2025-blockdag-bitcoin-hyper-little-pepe-remittix-backed-by-real-tech/,best-crypto-presale-2025-blockdag-bitcoin-hyper-little-pepe-remittix-backed-by-real-tech,best-crypto-presale-2025-blockdag-bitcoin-hyper-little-pepe-remittix-backed-by-real-tech/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
385,BlockDAG,https://bitcoininfonews.com/best-crypto-presale-2025-why-blockdag-tops-the-list-over-sol-trx-and-sei/,best-crypto-presale-2025-why-blockdag-tops-the-list-over-sol-trx-and-sei,best-crypto-presale-2025-why-blockdag-tops-the-list-over-sol-trx-and-sei/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
386,BlockDAG,https://bitcoininfonews.com/best-crypto-presale-projects-2025-blockdag-hyper-best-layer-brett/,best-crypto-presale-projects-2025-blockdag-hyper-best-layer-brett,best-crypto-presale-projects-2025-blockdag-hyper-best-layer-brett/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
387,BlockDAG,https://bitcoininfonews.com/best-crypto-presales-to-buy-blockdag-surges-ahead-as-the-top-crypto-to-invest-in/,best-crypto-presales-to-buy-blockdag-surges-ahead-as-the-top-crypto-to-invest-in,best-crypto-presales-to-buy-blockdag-surges-ahead-as-the-top-crypto-to-invest-in/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
388,BlockDAG,https://bitcoininfonews.com/best-crypto-to-buy-for-2025-blockdag-filecoin-vet-link/,best-crypto-to-buy-for-2025-blockdag-filecoin-vet-link,best-crypto-to-buy-for-2025-blockdag-filecoin-vet-link/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
389,BlockDAG,https://bitcoininfonews.com/best-crypto-to-buy-in-2025-blockdag-ethereum-cardano-solana/,best-crypto-to-buy-in-2025-blockdag-ethereum-cardano-solana,best-crypto-to-buy-in-2025-blockdag-ethereum-cardano-solana/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
390,BlockDAG,https://bitcoininfonews.com/best-crypto-to-buy-now-blockdag-dogecoin-pepe-shiba-inu-show-strong-momentum/,best-crypto-to-buy-now-blockdag-dogecoin-pepe-shiba-inu-show-strong-momentum,best-crypto-to-buy-now-blockdag-dogecoin-pepe-shiba-inu-show-strong-momentum/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
391,BlockDAG,https://bitcoininfonews.com/best-crypto-to-buy-now-blockdag-vs-xrp-pepe-price-action/,best-crypto-to-buy-now-blockdag-vs-xrp-pepe-price-action,best-crypto-to-buy-now-blockdag-vs-xrp-pepe-price-action/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
392,BlockDAG,https://bitcoininfonews.com/best-crypto-to-buy-now-blockdags-no-vesting-pass-offers-100-launch-access/,best-crypto-to-buy-now-blockdags-no-vesting-pass-offers-100-launch-access,best-crypto-to-buy-now-blockdags-no-vesting-pass-offers-100-launch-access/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
393,BlockDAG,https://bitcoininfonews.com/best-crypto-to-buy-now-why-aptos-hedera-ondo-blockdag-are-heating-up-in-2025/,best-crypto-to-buy-now-why-aptos-hedera-ondo-blockdag-are-heating-up-in-2025,best-crypto-to-buy-now-why-aptos-hedera-ondo-blockdag-are-heating-up-in-2025/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
394,BlockDAG,https://bitcoininfonews.com/best-crypto-to-buy-right-now-blockdag-chainlink-aave-cardano/,best-crypto-to-buy-right-now-blockdag-chainlink-aave-cardano,best-crypto-to-buy-right-now-blockdag-chainlink-aave-cardano/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
395,BlockDAG,https://bitcoininfonews.com/best-crypto-to-buy-today-blockdag-chainlink-stellar-cardano-lead/,best-crypto-to-buy-today-blockdag-chainlink-stellar-cardano-lead,best-crypto-to-buy-today-blockdag-chainlink-stellar-cardano-lead/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
396,BlockDAG,https://bitcoininfonews.com/best-cryptos-to-buy-now-blockdag-doge-shib-pepe-surge-in-popularity/,best-cryptos-to-buy-now-blockdag-doge-shib-pepe-surge-in-popularity,best-cryptos-to-buy-now-blockdag-doge-shib-pepe-surge-in-popularity/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
397,BlockDAG,https://bitcoininfonews.com/best-cryptos-to-buy-now-blockdag-ltc-ton-fil-updates-for-2025/,best-cryptos-to-buy-now-blockdag-ltc-ton-fil-updates-for-2025,best-cryptos-to-buy-now-blockdag-ltc-ton-fil-updates-for-2025/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
398,BlockDAG,https://bitcoininfonews.com/best-high-roi-crypto-2025-blockdag-stellar-dogecoin-avalanche/,best-high-roi-crypto-2025-blockdag-stellar-dogecoin-avalanche,best-high-roi-crypto-2025-blockdag-stellar-dogecoin-avalanche/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
399,BlockDAG,https://bitcoininfonews.com/best-long-term-cryptos-of-2025-blockdag-tao-rndr-near-price-predictions/,best-long-term-cryptos-of-2025-blockdag-tao-rndr-near-price-predictions,best-long-term-cryptos-of-2025-blockdag-tao-rndr-near-price-predictions/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
