id,cluster,source,url,current_destination,type,status,action,reason
893,BlockDAG,aster-bnb-momentum-blockdags-420m-presale-surge/,https://bitcoininfonews.com/aster-bnb-momentum-blockdags-420m-presale-surge/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
894,BlockDAG,avalanche-avax-price-forecast-vechain-vet-price-prediction-and-blockdags-386m-presale-momentum/,https://bitcoininfonews.com/avalanche-avax-price-forecast-vechain-vet-price-prediction-and-blockdags-386m-presale-momentum/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
895,BlockDAG,avax-eyes-26-sol-shows-strength-blockdags-presale-booms-past-332m/,https://bitcoininfonews.com/avax-eyes-26-sol-shows-strength-blockdags-presale-booms-past-332m/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
896,BlockDAG,avax-eyes-30-doge-holds-steady-blockdag-achieves-223m-presale-2520-roi/,https://bitcoininfonews.com/avax-eyes-30-doge-holds-steady-blockdag-achieves-223m-presale-2520-roi/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
897,BlockDAG,avax-ondo-surge-while-blockdags-433m-green-pow-presale-dominates-top-crypto-to-buy-conversations/,https://bitcoininfonews.com/avax-ondo-surge-while-blockdags-433m-green-pow-presale-dominates-top-crypto-to-buy-conversations/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
898,BlockDAG,bch-rebounds-to-580-bnb-eyes-1400-but-blockdags-430m-presale-explodes-as-tge-code-fuels-demand/,https://bitcoininfonews.com/bch-rebounds-to-580-bnb-eyes-1400-but-blockdags-430m-presale-explodes-as-tge-code-fuels-demand/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
899,BlockDAG,bdag-eye-3025-roi-pepe-price-analysis-tao-rises/,https://bitcoininfonews.com/bdag-eye-3025-roi-pepe-price-analysis-tao-rises/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
900,BlockDAG,bdag-leads-best-crypto-to-buy-today-surpassing-trx-wld/,https://bitcoininfonews.com/bdag-leads-best-crypto-to-buy-today-surpassing-trx-wld/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
901,BlockDAG,bdag-referral-program-gains-ground-as-bnb-price-prediction-xlm-show-strength/,https://bitcoininfonews.com/bdag-referral-program-gains-ground-as-bnb-price-prediction-xlm-show-strength/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
902,BlockDAG,bdag-surges-to-336m-leaving-kaanchs-post-presale-stumble-in-the-dust/,https://bitcoininfonews.com/bdag-surges-to-336m-leaving-kaanchs-post-presale-stumble-in-the-dust/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
903,BlockDAG,bdags-430m-presale-binance-ama-steal-ada-doge-spotlight/,https://bitcoininfonews.com/bdags-430m-presale-binance-ama-steal-ada-doge-spotlight/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
904,BlockDAG,bdags-presale-grows-eth-etf-inflows-rise-sol-targets-1k/,https://bitcoininfonews.com/bdags-presale-grows-eth-etf-inflows-rise-sol-targets-1k/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
905,BlockDAG,best-altcoins-to-buy-now-bdag-sui-xrp-bonk-gaining-buzz/,https://bitcoininfonews.com/best-altcoins-to-buy-now-bdag-sui-xrp-bonk-gaining-buzz/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
906,BlockDAG,best-altcoins-to-buy-now-blockdag-ada-hype-eth-steal-the-spotlight/,https://bitcoininfonews.com/best-altcoins-to-buy-now-blockdag-ada-hype-eth-steal-the-spotlight/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
907,BlockDAG,best-altcoins-to-buy-now-blockdag-ethereum-chainlink-cardano-set-the-stage-for-explosive-growth/,https://bitcoininfonews.com/best-altcoins-to-buy-now-blockdag-ethereum-chainlink-cardano-set-the-stage-for-explosive-growth/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
